지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심적설(cm)
108,서울,2022-01-01,-4.3,,
108,서울,2022-01-02,-1.3,.3,.5
108,서울,2022-01-03,-1.9,0,
108,서울,2022-01-04,-2.5,0,
108,서울,2022-01-05,-2.8,,
108,서울,2022-01-06,-2.2,,
108,서울,2022-01-07,-1.6,,
108,서울,2022-01-08,.3,0,
108,서울,2022-01-09,1.3,,
108,서울,2022-01-10,.5,.9,.9
108,서울,2022-01-11,-7.4,.2,1
108,서울,2022-01-12,-7.7,,.2
108,서울,2022-01-13,-6.4,,
108,서울,2022-01-14,-4.8,,
108,서울,2022-01-15,-1,0,
108,서울,2022-01-16,-2,0,
108,서울,2022-01-17,-5.8,.5,.8
108,서울,2022-01-18,-5.6,,.5
108,서울,2022-01-19,-5.3,1.7,3.5
108,서울,2022-01-20,-5,,2.4
108,서울,2022-01-21,-2.7,,
108,서울,2022-01-22,.3,,
108,서울,2022-01-23,2,,
108,서울,2022-01-24,4.6,,
108,서울,2022-01-25,2.8,.7,
108,서울,2022-01-26,1.3,,
108,서울,2022-01-27,-1.1,,
108,서울,2022-01-28,-2.7,,
108,서울,2022-01-29,-3.6,,
108,서울,2022-01-30,-2.8,,
108,서울,2022-01-31,-.7,1.2,1.8
108,서울,2022-02-01,-1.3,1.7,5
108,서울,2022-02-02,-3.4,,.5
108,서울,2022-02-03,-3.4,,
108,서울,2022-02-04,-5.2,0,
108,서울,2022-02-05,-6.6,,
108,서울,2022-02-06,-3.9,,
108,서울,2022-02-07,-2.5,,
108,서울,2022-02-08,-.1,,
108,서울,2022-02-09,1,,
108,서울,2022-02-10,1.4,,
108,서울,2022-02-11,2.9,,
108,서울,2022-02-12,4.8,,
108,서울,2022-02-13,4.8,,
108,서울,2022-02-14,2.5,1.7,
108,서울,2022-02-15,-4.7,0,
108,서울,2022-02-16,-7.3,0,
108,서울,2022-02-17,-6.2,,
108,서울,2022-02-18,-1.2,,
108,서울,2022-02-19,-1.7,.1,.1
108,서울,2022-02-20,-4.8,,
108,서울,2022-02-21,-3,.1,
108,서울,2022-02-22,-4.5,,
108,서울,2022-02-23,-5.6,,
108,서울,2022-02-24,-2.4,,
108,서울,2022-02-25,3,,
108,서울,2022-02-26,5.4,1.1,
108,서울,2022-02-27,3.7,,
108,서울,2022-02-28,6.8,,
108,서울,2022-03-01,5.8,2.3,
108,서울,2022-03-02,3.5,,
108,서울,2022-03-03,5.8,,
108,서울,2022-03-04,6.9,,
108,서울,2022-03-05,2.3,,
108,서울,2022-03-06,1.4,,
108,서울,2022-03-07,2.8,,
108,서울,2022-03-08,6,,
108,서울,2022-03-09,7.1,,
108,서울,2022-03-10,9.3,,
108,서울,2022-03-11,11.2,,
108,서울,2022-03-12,12.8,2.6,
108,서울,2022-03-13,11.7,42.1,
108,서울,2022-03-14,8.2,8.7,
108,서울,2022-03-15,7.2,,
108,서울,2022-03-16,10.3,,
108,서울,2022-03-17,10.7,1.2,
108,서울,2022-03-18,7.5,0,
108,서울,2022-03-19,3.4,14.6,.7
108,서울,2022-03-20,5.4,0,
108,서울,2022-03-21,5,,
108,서울,2022-03-22,7.1,,
108,서울,2022-03-23,6.2,,
108,서울,2022-03-24,8.2,,
108,서울,2022-03-25,12,10.9,
108,서울,2022-03-26,11.8,19.8,
108,서울,2022-03-27,8.1,,
108,서울,2022-03-28,8.2,,
108,서울,2022-03-29,9.7,,
108,서울,2022-03-30,10.8,.4,
108,서울,2022-03-31,10.9,,
108,서울,2022-04-01,9.2,,
108,서울,2022-04-02,8.2,,
108,서울,2022-04-03,9.6,,
108,서울,2022-04-04,10.3,,
108,서울,2022-04-05,10.3,,
108,서울,2022-04-06,11.7,,
108,서울,2022-04-07,10.9,,
108,서울,2022-04-08,12.9,,
108,서울,2022-04-09,17.8,.5,
108,서울,2022-04-10,18.2,,
108,서울,2022-04-11,19.6,,
108,서울,2022-04-12,19.3,.5,
108,서울,2022-04-13,13.1,1.3,
108,서울,2022-04-14,13.2,,
108,서울,2022-04-15,13.3,,
108,서울,2022-04-16,13.2,,
108,서울,2022-04-17,14,,
108,서울,2022-04-18,15.2,,
108,서울,2022-04-19,15.2,,
108,서울,2022-04-20,15.7,,
108,서울,2022-04-21,16.3,,
108,서울,2022-04-22,15,,
108,서울,2022-04-23,17.7,,
108,서울,2022-04-24,18.5,.3,
108,서울,2022-04-25,20,1.3,
108,서울,2022-04-26,21.9,1,
108,서울,2022-04-27,17.7,,
108,서울,2022-04-28,18.2,0,
108,서울,2022-04-29,13.4,15.5,
108,서울,2022-04-30,13,,
108,서울,2022-05-01,13.4,,
108,서울,2022-05-02,14.2,,
108,서울,2022-05-03,14.8,,
108,서울,2022-05-04,17.8,,
108,서울,2022-05-05,18.9,,
108,서울,2022-05-06,19.6,,
108,서울,2022-05-07,18.4,.5,
108,서울,2022-05-08,15.3,2,
108,서울,2022-05-09,17.9,,
108,서울,2022-05-10,19.9,0,
108,서울,2022-05-11,19.7,0,
108,서울,2022-05-12,20.9,,
108,서울,2022-05-13,19.4,,
108,서울,2022-05-14,15.7,,
108,서울,2022-05-15,16.2,,
108,서울,2022-05-16,17.3,,
108,서울,2022-05-17,20,,
108,서울,2022-05-18,20,1.5,
108,서울,2022-05-19,19.9,,
108,서울,2022-05-20,20.6,,
108,서울,2022-05-21,20.1,,
108,서울,2022-05-22,20.3,,
108,서울,2022-05-23,23,,
108,서울,2022-05-24,22.9,,
108,서울,2022-05-25,21,3.5,
108,서울,2022-05-26,18.7,0,
108,서울,2022-05-27,20,0,
108,서울,2022-05-28,22.3,,
108,서울,2022-05-29,23.1,,
108,서울,2022-05-30,20.8,0,
108,서울,2022-05-31,20.7,,
108,서울,2022-06-01,22.1,,
108,서울,2022-06-02,21.5,,
108,서울,2022-06-03,24.5,,
108,서울,2022-06-04,25.6,,
108,서울,2022-06-05,22.7,0,
108,서울,2022-06-06,19.7,4.3,
108,서울,2022-06-07,20.6,0,
108,서울,2022-06-08,21.2,,
108,서울,2022-06-09,20.9,2.6,
108,서울,2022-06-10,20.9,1.2,
108,서울,2022-06-11,24.6,,
108,서울,2022-06-12,24.6,,
108,서울,2022-06-13,23.6,18,
108,서울,2022-06-14,21.5,0,
108,서울,2022-06-15,17.5,18.5,
108,서울,2022-06-16,20.3,.7,
108,서울,2022-06-17,22.5,,
108,서울,2022-06-18,23.3,0,
108,서울,2022-06-19,23.4,,
108,서울,2022-06-20,25.2,,
108,서울,2022-06-21,26.5,,
108,서울,2022-06-22,25.9,,
108,서울,2022-06-23,24.3,103,
108,서울,2022-06-24,22.6,19.1,
108,서울,2022-06-25,26,,
108,서울,2022-06-26,26.5,,
108,서울,2022-06-27,26.8,6.1,
108,서울,2022-06-28,26.9,6.3,
108,서울,2022-06-29,25.1,37.8,
108,서울,2022-06-30,22.3,176.2,
108,서울,2022-07-01,26.6,,
108,서울,2022-07-02,28.8,,
108,서울,2022-07-03,29.3,,
108,서울,2022-07-04,29.3,0,
108,서울,2022-07-05,29.2,0,
108,서울,2022-07-06,29.5,16.1,
108,서울,2022-07-07,28.2,0,
108,서울,2022-07-08,25.8,1.7,
108,서울,2022-07-09,26.9,.1,
108,서울,2022-07-10,29.2,0,
108,서울,2022-07-11,27,9,
108,서울,2022-07-12,26.8,,
108,서울,2022-07-13,25,114.5,
108,서울,2022-07-14,25.7,.9,
108,서울,2022-07-15,26,,
108,서울,2022-07-16,24.8,34,
108,서울,2022-07-17,25.5,0,
108,서울,2022-07-18,26.8,,
108,서울,2022-07-19,27.4,,
108,서울,2022-07-20,27.1,1.1,
108,서울,2022-07-21,23.2,10.4,
108,서울,2022-07-22,25.1,5.2,
108,서울,2022-07-23,24.8,9.9,
108,서울,2022-07-24,25,1.2,
108,서울,2022-07-25,27.5,,
108,서울,2022-07-26,28.9,,
108,서울,2022-07-27,29.3,,
108,서울,2022-07-28,29.7,,
108,서울,2022-07-29,30.7,,
108,서울,2022-07-30,30.9,1,
108,서울,2022-07-31,27.2,47.2,
108,서울,2022-08-01,28.6,30,
108,서울,2022-08-02,26.8,33.5,
108,서울,2022-08-03,27.1,51.1,
108,서울,2022-08-04,28.9,0,
108,서울,2022-08-05,29.4,0,
108,서울,2022-08-06,28.7,13.6,
108,서울,2022-08-07,28.9,.9,
108,서울,2022-08-08,26.8,129.6,
108,서울,2022-08-09,25.1,123.1,
108,서울,2022-08-10,24.7,7.6,
108,서울,2022-08-11,25,38.8,
108,서울,2022-08-12,27,,
108,서울,2022-08-13,25.8,4,
108,서울,2022-08-14,27.6,3,
108,서울,2022-08-15,28.1,.9,
108,서울,2022-08-16,26.7,0,
108,서울,2022-08-17,26,0,
108,서울,2022-08-18,25.6,,
108,서울,2022-08-19,26,66.1,
108,서울,2022-08-20,28.2,0,
108,서울,2022-08-21,28.1,,
108,서울,2022-08-22,26.8,3.2,
108,서울,2022-08-23,25.4,2.2,
108,서울,2022-08-24,24.8,,
108,서울,2022-08-25,22.2,1.6,
108,서울,2022-08-26,23.8,,
108,서울,2022-08-27,21.5,17.6,
108,서울,2022-08-28,22.6,,
108,서울,2022-08-29,21,2.2,
108,서울,2022-08-30,19.1,35.8,
108,서울,2022-08-31,21.7,0,
108,서울,2022-09-01,24,,
108,서울,2022-09-02,24.7,,
108,서울,2022-09-03,24.2,,
108,서울,2022-09-04,22.3,33.8,
108,서울,2022-09-05,19.2,120,
108,서울,2022-09-06,21,25.3,
108,서울,2022-09-07,22.8,,
108,서울,2022-09-08,23.2,,
108,서울,2022-09-09,24.3,,
108,서울,2022-09-10,23.6,,
108,서울,2022-09-11,23.3,.1,
108,서울,2022-09-12,23.8,,
108,서울,2022-09-13,24.3,0,
108,서울,2022-09-14,24.6,0,
108,서울,2022-09-15,25.2,.1,
108,서울,2022-09-16,25.7,14.6,
108,서울,2022-09-17,25.6,4.3,
108,서울,2022-09-18,27.1,,
108,서울,2022-09-19,24.6,,
108,서울,2022-09-20,19.9,,
108,서울,2022-09-21,19.4,,
108,서울,2022-09-22,19.8,,
108,서울,2022-09-23,17.5,3.3,
108,서울,2022-09-24,18.5,,
108,서울,2022-09-25,19.6,,
108,서울,2022-09-26,20,,
108,서울,2022-09-27,20.9,,
108,서울,2022-09-28,20.4,,
108,서울,2022-09-29,20.4,,
108,서울,2022-09-30,20.7,,
108,서울,2022-10-01,20.9,,
108,서울,2022-10-02,19.4,15.8,
108,서울,2022-10-03,21.4,76,
108,서울,2022-10-04,17.9,11.8,
108,서울,2022-10-05,16.6,.1,
108,서울,2022-10-06,15.8,0,
108,서울,2022-10-07,14.3,,
108,서울,2022-10-08,15.8,,
108,서울,2022-10-09,13.1,20.4,
108,서울,2022-10-10,9.9,0,
108,서울,2022-10-11,11.1,,
108,서울,2022-10-12,13.5,,
108,서울,2022-10-13,16.3,,
108,서울,2022-10-14,17.1,,
108,서울,2022-10-15,18.2,,
108,서울,2022-10-16,16.9,,
108,서울,2022-10-17,11.2,,
108,서울,2022-10-18,9.4,,
108,서울,2022-10-19,10.5,,
108,서울,2022-10-20,12.9,,
108,서울,2022-10-21,14,,
108,서울,2022-10-22,15.1,,
108,서울,2022-10-23,14,,
108,서울,2022-10-24,10.6,,
108,서울,2022-10-25,11.3,,
108,서울,2022-10-26,12.9,,
108,서울,2022-10-27,13.2,,
108,서울,2022-10-28,13.6,,
108,서울,2022-10-29,14.8,,
108,서울,2022-10-30,14.9,,
108,서울,2022-10-31,14.9,,
108,서울,2022-11-01,13.1,,
108,서울,2022-11-02,11.1,,
108,서울,2022-11-03,9.3,0,
108,서울,2022-11-04,4.9,,
108,서울,2022-11-05,6.5,,
108,서울,2022-11-06,9.6,,
108,서울,2022-11-07,11.4,0,
108,서울,2022-11-08,12.9,,
108,서울,2022-11-09,11.4,,
108,서울,2022-11-10,13.5,,
108,서울,2022-11-11,15.6,,
108,서울,2022-11-12,16.3,57.9,
108,서울,2022-11-13,10.3,,
108,서울,2022-11-14,9.7,,
108,서울,2022-11-15,8.1,1.6,
108,서울,2022-11-16,8.5,,
108,서울,2022-11-17,10.2,,
108,서울,2022-11-18,11,,
108,서울,2022-11-19,12.9,,
108,서울,2022-11-20,13.7,,
108,서울,2022-11-21,11.8,,
108,서울,2022-11-22,10.7,0,
108,서울,2022-11-23,10.8,0,
108,서울,2022-11-24,9.4,,
108,서울,2022-11-25,12.3,1.7,
108,서울,2022-11-26,6.7,,
108,서울,2022-11-27,5.4,,
108,서울,2022-11-28,12.3,19.5,
108,서울,2022-11-29,6.9,3.8,
108,서울,2022-11-30,-5.4,,
108,서울,2022-12-01,-5.4,,
108,서울,2022-12-02,-2.5,,
108,서울,2022-12-03,2.1,1.1,1
108,서울,2022-12-04,-3.5,,
108,서울,2022-12-05,-3.1,,
108,서울,2022-12-06,.9,.1,.3
108,서울,2022-12-07,4.9,.1,
108,서울,2022-12-08,3.7,,
108,서울,2022-12-09,4.5,0,
108,서울,2022-12-10,2.6,,
108,서울,2022-12-11,1.6,,
108,서울,2022-12-12,2,5.4,
108,서울,2022-12-13,0,.6,.8
108,서울,2022-12-14,-8.4,,.5
108,서울,2022-12-15,-4.5,2.4,4.5
108,서울,2022-12-16,-6.3,,4.1
108,서울,2022-12-17,-7,.2,1.9
108,서울,2022-12-18,-9.5,,1.5
108,서울,2022-12-19,-7,,1.4
108,서울,2022-12-20,-3.2,,1.1
108,서울,2022-12-21,-.1,3.6,3.5
108,서울,2022-12-22,-7.8,,1.9
108,서울,2022-12-23,-11.8,,1.8
108,서울,2022-12-24,-8.4,,1.7
108,서울,2022-12-25,-5.4,,1.6
108,서울,2022-12-26,-3.9,,1.2
108,서울,2022-12-27,-2.6,,.3
108,서울,2022-12-28,-3.3,.1,.4
108,서울,2022-12-29,-2.9,0,
108,서울,2022-12-30,-1.8,0,
108,서울,2022-12-31,-1.2,0,
